Class/Subject,Chapter,Total Questions,Total Answers,Missing Answers
"hsc","জীববিজ্ঞান ২য় পত্র",11915,5838,6077
"SSC","হিসাববিজ্ঞান",10159,4927,5232
"hsc","জীববিজ্ঞান ১ম পত্র",9572,5486,4086
"SSC","বাংলা ১ম পত্র",15125,12305,2820
"SSC","ব্যবসায় উদ্যোগ",10508,8471,2037
"SSC","ফিন্যান্স ও ব্যাংকিং",11465,10137,1328
"SSC","উচ্চতর গণিত",7314,6059,1255
"SSC","বিজ্ঞান",3963,2789,1174
"SSC","বাংলা ২য় পত্র",3845,3675,170
"class-6","বাংলা ১ম পত্র",4118,3958,160
"hsc","তথ্য ও যোগাযোগ প্রযুক্তি",9034,8886,148
"hsc","পদার্থ বিজ্ঞান ১ম পত্র",24820,24681,139
"hsc","পদার্থ বিজ্ঞান ২য় পত্র",20958,20823,135
"hsc","উচ্চতর গণিত ২য় পত্র",11703,11599,104
"class-3","প্রাথমিক গণিত",6031,5935,96
"hsc","উচ্চতর গণিত ১ম পত্র",16940,16844,96
"hsc","সাধারণ জ্ঞান (বাংলাদেশ)",6993,6911,82
"hsc","সাধারণ জ্ঞান (আন্তর্জাতিক)",3364,3330,34
"SSC","গণিত",10971,10948,23
"hsc","রসায়ন ১ম পত্র",14578,14562,16
"hsc","হিসাববিজ্ঞান ১ম পত্র",8758,8748,10
"class-7","বিজ্ঞান",10117,10109,8
"class-8","গণিত",13030,13023,7
"SSC","রসায়ন",17019,17014,5
"class-5","আমার বাংলা বই",9339,9335,4
"hsc","হিসাববিজ্ঞান ২য় পত্র",5489,5485,4
"SSC","জীববিজ্ঞান",16826,16823,3
"SSC","পদার্থবিজ্ঞান",20073,20070,3
"class-7","বাংলাদেশ ও বিশ্বপরিচয়",6210,6208,2
"hsc","English 2nd Paper",11756,11754,2
"hsc","রসায়ন ২য় পত্র",8764,8762,2
"class-4","ইসলাম শিক্ষা",1603,1602,1
"class-4","প্রাথমিক গণিত",6601,6600,1
"class-4","হিন্দুধর্ম শিক্ষা",1247,1246,1
"class-6","গণিত",7698,7697,1
"class-7","গণিত",6496,6495,1
"class-8","বিজ্ঞান",14698,14697,1
"hsc","পরিসংখ্যান ২য় পত্র",213,212,1
"SSC","অর্থনীতি",6176,6175,1
"SSC","কৃষিশিক্ষা",3340,3339,1
"SSC","ভূগোল ও পরিবেশ",3464,3463,1
================================================================================
"","--- TOTAL MISSING ANSWERS ---","","",25272
