Class,Subject,Chapter,Topic,Total Questions,Total Answers
"class-1","English For Today","Unit - 1 Greetings and Farewells","CQ",1,1
"class-1","English For Today","Unit - 1 Greetings and Farewells","MCQ",50,50
"class-1","English For Today","Unit - 1 Greetings and Farewells","সংক্ষিপ্ত",2,2
"class-1","English For Today","Unit - 2 The Alphabet and Numbers","MCQ",3,3
"class-1","English For Today","Unit - 3 Classroom Instructions","CQ",1,1
"class-1","English For Today","Unit - 3 Classroom Instructions","MCQ",6,6
"class-1","English For Today","Unit - 3 Classroom Instructions","সংক্ষিপ্ত",1,1
"class-1","English For Today","Unit - 3 Classroom Instructions","True False",1,1
"class-1","আমার বাংলা বই","পাঠ ১আমার পরিচয়","MCQ",87,87
"class-1","আমার বাংলা বই","পাঠ ১আমার পরিচয়","True False",1,1
"class-1","আমার বাংলা বই","পাঠ ১০ বর্ণ শিখি_ অ আ","MCQ",2,2
"class-1","আমার বাংলা বই","পাঠ ১০ বর্ণ শিখি_ অ আ","সংক্ষিপ্ত",2,2
"class-1","আমার বাংলা বই","পাঠ ১০ বর্ণ শিখি_ অ আ","True False",2,2
"class-1","আমার বাংলা বই","পাঠ ১১ বর্ণ শিখি_ ই ঈ","MCQ",3,3
"class-1","আমার বাংলা বই","পাঠ ১৩ বর্ণ শিখি_ ঋ","MCQ",3,3
"class-1","আমার বাংলা বই","পাঠ ১৪ বর্ণ শিখি_ এ ঐ","MCQ",3,3
"class-1","আমার বাংলা বই","পাঠ ১৫ বর্ণ শিখি_ ও ঔ","MCQ",2,2
"class-1","আমার বাংলা বই","পাঠ ১৬ স্বরবর্ণ","MCQ",3,3
"class-1","আমার বাংলা বই","পাঠ ১৭ ইতল বিতল","CQ",1,1
"class-1","আমার বাংলা বই","পাঠ ১৭ ইতল বিতল","MCQ",2,2
"class-1","আমার বাংলা বই","পাঠ ১৮ কারচিহ্ন দেখি","MCQ",3,3
"class-1","আমার বাংলা বই","পাঠ ২৫ ট্রেন","MCQ",4,4
"class-1","আমার বাংলা বই","পাঠ ২৫ ট্রেন","সংক্ষিপ্ত",1,1
"class-1","আমার বাংলা বই","পাঠ ৩ আমি ও আমার বিদ্যালয়","CQ",1,1
"class-1","আমার বাংলা বই","পাঠ ৩ আমি ও আমার বিদ্যালয়","MCQ",73,73
"class-1","আমার বাংলা বই","পাঠ ৩ আমি ও আমার বিদ্যালয়","সংক্ষিপ্ত",7,7
